q2,q3,s1,s2,s3,q6,q8,q10,q12,p
7,8,99,100,100,15,8,14,6,6
4,3,99,100,100,15,12,13,6,2
8,11,2,100,100,4,2,2,6,4
4,5,1,100,100,13,2,6,12,4
1,3,6,100,100,2,8,9,10,2
1,16,100,100,23,1,11,13,10,7
6,17,2,100,100,9,2,2,10,13
2,3,2,12,100,15,2,7,10,9
1,10,100,15,100,10,6,6,4,3
6,5,7,100,23,1,13,13,5,2
1,5,1,100,100,13,4,2,10,8
9,10,1,100,100,17,13,10,5,13
2,8,1,11,100,18,13,13,5,18
6,9,1,13,100,14,6,13,4,2
4,9,7,100,100,15,13,13,5,2
1,6,100,100,23,15,11,1,9,3
1,9,1,16,100,12,17,11,9,17
2,6,6,100,100,1,14,13,4,18
4,9,1,100,100,18,9,4,5,18
8,9,99,100,100,11,4,9,5,5
5,3,100,12,100,9,18,6,3,17
5,13,5,100,100,17,11,11,5,2
3,20,100,16,100,13,6,3,5,17
4,9,2,100,100,3,7,13,7,1
3,3,3,100,100,3,10,13,6,2
4,3,100,13,100,15,5,2,6,2
4,1,100,100,21,8,1,1,5,8
6,17,99,100,100,2,9,1,3,1
2,9,99,100,100,17,7,9,7,1
10,5,1,100,100,6,11,7,6,5
4,19,99,100,100,20,11,5,4,7
6,3,6,100,100,17,3,13,11,4
1,4,100,12,100,7,2,2,10,9
9,18,100,15,100,7,2,13,10,13
2,6,1,100,100,1,13,2,5,13
9,2,100,100,21,17,9,3,5,17
4,6,3,13,100,1,4,13,5,13
10,18,1,16,100,13,1,3,7,17
3,11,99,100,100,3,7,9,9,17
1,1,100,12,100,18,3,3,5,1
6,14,1,100,100,3,13,13,5,2
2,5,7,100,100,13,9,7,3,13
4,5,1,100,100,4,6,13,2,2
4,9,2,100,100,14,13,13,4,6
2,6,1,13,100,17,10,7,5,13
2,12,100,13,100,17,15,9,5,17
8,12,1,100,100,19,9,6,8,8
6,18,1,100,100,6,16,13,3,14
10,15,100,100,23,4,13,13,5,9
4,9,2,100,100,1,4,13,10,10
1,19,99,100,100,6,18,5,12,2
1,18,7,100,100,17,17,14,1,5
4,19,3,100,100,15,13,14,5,7
2,3,2,100,100,4,12,1,4,8
4,5,2,100,100,4,9,13,4,3
1,6,1,13,23,19,9,6,12,4
2,14,1,100,100,17,9,14,9,2
1,4,1,13,100,13,4,13,12,18
1,6,1,100,100,19,17,9,3,17
4,1,3,12,100,3,15,1,5,19
4,13,1,100,100,13,12,12,6,6
4,5,1,100,23,15,9,11,4,1
4,15,1,100,100,1,4,7,6,2
1,6,1,100,100,15,14,8,8,14
4,1,100,16,100,13,13,13,5,5
2,17,99,100,100,16,1,1,5,11
1,4,99,100,100,13,16,6,3,8
